OG	cog_id	Term	Category
OG0007373	S	Function unknown	Poorly characterized
OG0007374	S	Function unknown	Poorly characterized
OG0007375	S	Function unknown	Poorly characterized
OG0007376	S	Function unknown	Poorly characterized
OG0007377	L	Replication, recombination and repair	Information storage and processing
OG0007378	S	Function unknown	Poorly characterized
OG0007379	S	Function unknown	Poorly characterized
OG0007380	S	Function unknown	Poorly characterized
OG0007381	P	Inorganic ion transport and metabolism	Metabolism
OG0007382	S	Function unknown	Poorly characterized
OG0007383	S	Function unknown	Poorly characterized
OG0007384	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0007386	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007387	L	Replication, recombination and repair	Information storage and processing
OG0007388	K	Transcription	Information storage and processing
OG0007388	L	Replication, recombination and repair	Information storage and processing
OG0007388	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007389	S	Function unknown	Poorly characterized
OG0007390	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0007391	S	Function unknown	Poorly characterized
OG0007392	S	Function unknown	Poorly characterized
OG0007393	S	Function unknown	Poorly characterized
OG0007394	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007395	C	Energy production and conversion	Metabolism
OG0007396	S	Function unknown	Poorly characterized
OG0007397	S	Function unknown	Poorly characterized
OG0007398	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0007399	S	Function unknown	Poorly characterized
OG0007400	B	Chromatin structure and dynamics	Information storage and processing
OG0007401	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007403	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0007404	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007405	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007406	S	Function unknown	Poorly characterized
OG0007408	S	Function unknown	Poorly characterized
OG0007409	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0007410	S	Function unknown	Poorly characterized
OG0007411	L	Replication, recombination and repair	Information storage and processing
OG0007412	S	Function unknown	Poorly characterized
OG0007413	S	Function unknown	Poorly characterized
OG0007414	S	Function unknown	Poorly characterized
OG0007415	S	Function unknown	Poorly characterized
OG0007416	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007416	P	Inorganic ion transport and metabolism	Metabolism
OG0007417	E	Amino acid transport and metabolism	Metabolism
OG0007417	G	Carbohydrate transport and metabolism	Metabolism
OG0007417	P	Inorganic ion transport and metabolism	Metabolism
OG0007419	S	Function unknown	Poorly characterized
OG0007420	S	Function unknown	Poorly characterized
OG0007421	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007422	S	Function unknown	Poorly characterized
OG0007423	S	Function unknown	Poorly characterized
OG0007424	L	Replication, recombination and repair	Information storage and processing
OG0007425	S	Function unknown	Poorly characterized
OG0007429	S	Function unknown	Poorly characterized
OG0007430	W	Extracellular structures	Cellular processes and signaling
OG0007431	S	Function unknown	Poorly characterized
OG0007432	S	Function unknown	Poorly characterized
OG0007433	K	Transcription	Information storage and processing
OG0007434	K	Transcription	Information storage and processing
OG0007435	S	Function unknown	Poorly characterized
OG0007436	C	Energy production and conversion	Metabolism
OG0007437	E	Amino acid transport and metabolism	Metabolism
OG0007438	S	Function unknown	Poorly characterized
OG0007439	S	Function unknown	Poorly characterized
OG0007440	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0007441	S	Function unknown	Poorly characterized
OG0007442	J	Translation, ribosomal structure and biogenesis	Information storage and processing
OG0007443	S	Function unknown	Poorly characterized
OG0007444	S	Function unknown	Poorly characterized
OG0007446	S	Function unknown	Poorly characterized
OG0007447	S	Function unknown	Poorly characterized
OG0007448	S	Function unknown	Poorly characterized
OG0007449	J	Translation, ribosomal structure and biogenesis	Information storage and processing
OG0007450	K	Transcription	Information storage and processing
OG0007451	S	Function unknown	Poorly characterized
OG0007452	S	Function unknown	Poorly characterized
OG0007453	S	Function unknown	Poorly characterized
OG0007454	S	Function unknown	Poorly characterized
OG0007455	S	Function unknown	Poorly characterized
OG0007456	S	Function unknown	Poorly characterized
OG0007457	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0007458	Z	Cytoskeleton	Cellular processes and signaling
OG0007461	H	Coenzyme transport and metabolism	Metabolism
OG0007462	I	Lipid transport and metabolism	Metabolism
OG0007462	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007463	Z	Cytoskeleton	Cellular processes and signaling
OG0007464	A	RNA processing and modification	Information storage and processing
OG0007465	L	Replication, recombination and repair	Information storage and processing
OG0007466	L	Replication, recombination and repair	Information storage and processing
OG0007467	S	Function unknown	Poorly characterized
OG0007468	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007470	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007470	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0007471	S	Function unknown	Poorly characterized
OG0007472	S	Function unknown	Poorly characterized
OG0007473	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007474	G	Carbohydrate transport and metabolism	Metabolism
OG0007475	K	Transcription	Information storage and processing
OG0007477	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007478	K	Transcription	Information storage and processing
OG0007479	K	Transcription	Information storage and processing
OG0007479	L	Replication, recombination and repair	Information storage and processing
OG0007479	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007480	L	Replication, recombination and repair	Information storage and processing
OG0007481	E	Amino acid transport and metabolism	Metabolism
OG0007483	S	Function unknown	Poorly characterized
OG0007484	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007486	S	Function unknown	Poorly characterized
OG0007487	S	Function unknown	Poorly characterized
OG0007488	S	Function unknown	Poorly characterized
OG0007489	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007490	S	Function unknown	Poorly characterized
OG0007491	S	Function unknown	Poorly characterized
OG0007492	G	Carbohydrate transport and metabolism	Metabolism
OG0007492	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007492	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0007493	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007494	S	Function unknown	Poorly characterized
OG0007495	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007496	A	RNA processing and modification	Information storage and processing
OG0007497	S	Function unknown	Poorly characterized
OG0007498	S	Function unknown	Poorly characterized
OG0007499	K	Transcription	Information storage and processing
OG0007500	K	Transcription	Information storage and processing
OG0007501	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0007502	I	Lipid transport and metabolism	Metabolism
OG0007503	S	Function unknown	Poorly characterized
OG0007505	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0007505	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0007505	Z	Cytoskeleton	Cellular processes and signaling
OG0007506	K	Transcription	Information storage and processing
OG0007507	S	Function unknown	Poorly characterized
OG0007508	S	Function unknown	Poorly characterized
OG0007509	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007510	S	Function unknown	Poorly characterized
OG0007511	L	Replication, recombination and repair	Information storage and processing
OG0007511	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007513	S	Function unknown	Poorly characterized
OG0007514	S	Function unknown	Poorly characterized
OG0007515	S	Function unknown	Poorly characterized
OG0007516	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007517	S	Function unknown	Poorly characterized
OG0007518	S	Function unknown	Poorly characterized
OG0007519	S	Function unknown	Poorly characterized
OG0007520	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007521	S	Function unknown	Poorly characterized
OG0007522	S	Function unknown	Poorly characterized
OG0007523	I	Lipid transport and metabolism	Metabolism
OG0007524	Z	Cytoskeleton	Cellular processes and signaling
OG0007525	M	Cell wall/membrane/envelope biogenesis	Cellular processes and signaling
OG0007526	J	Translation, ribosomal structure and biogenesis	Information storage and processing
OG0007528	S	Function unknown	Poorly characterized
OG0007529	S	Function unknown	Poorly characterized
OG0007531	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0007531	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007532	H	Coenzyme transport and metabolism	Metabolism
OG0007533	S	Function unknown	Poorly characterized
OG0007534	S	Function unknown	Poorly characterized
OG0007535	S	Function unknown	Poorly characterized
OG0007536	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007537	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007538	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007539	S	Function unknown	Poorly characterized
OG0007541	S	Function unknown	Poorly characterized
OG0007542	J	Translation, ribosomal structure and biogenesis	Information storage and processing
OG0007543	S	Function unknown	Poorly characterized
OG0007544	S	Function unknown	Poorly characterized
OG0007545	H	Coenzyme transport and metabolism	Metabolism
OG0007546	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007547	S	Function unknown	Poorly characterized
OG0007548	S	Function unknown	Poorly characterized
OG0007549	S	Function unknown	Poorly characterized
OG0007550	S	Function unknown	Poorly characterized
OG0007551	J	Translation, ribosomal structure and biogenesis	Information storage and processing
OG0007552	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0007553	S	Function unknown	Poorly characterized
OG0007554	S	Function unknown	Poorly characterized
OG0007555	S	Function unknown	Poorly characterized
OG0007556	J	Translation, ribosomal structure and biogenesis	Information storage and processing
OG0007557	S	Function unknown	Poorly characterized
OG0007558	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0007558	Z	Cytoskeleton	Cellular processes and signaling
OG0007559	S	Function unknown	Poorly characterized
OG0007560	K	Transcription	Information storage and processing
OG0007560	L	Replication, recombination and repair	Information storage and processing
OG0007561	S	Function unknown	Poorly characterized
OG0007562	S	Function unknown	Poorly characterized
OG0007563	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0007564	S	Function unknown	Poorly characterized
OG0007565	V	Defense mechanisms	Cellular processes and signaling
OG0007565	W	Extracellular structures	Cellular processes and signaling
OG0007566	K	Transcription	Information storage and processing
OG0007567	S	Function unknown	Poorly characterized
OG0007568	P	Inorganic ion transport and metabolism	Metabolism
OG0007569	S	Function unknown	Poorly characterized
OG0007570	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007570	V	Defense mechanisms	Cellular processes and signaling
OG0007572	S	Function unknown	Poorly characterized
OG0007573	S	Function unknown	Poorly characterized
OG0007574	S	Function unknown	Poorly characterized
OG0007575	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0007576	S	Function unknown	Poorly characterized
OG0007577	S	Function unknown	Poorly characterized
OG0007578	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0007578	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007579	S	Function unknown	Poorly characterized
OG0007581	S	Function unknown	Poorly characterized
OG0007582	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0007583	S	Function unknown	Poorly characterized
OG0007584	S	Function unknown	Poorly characterized
OG0007585	S	Function unknown	Poorly characterized
OG0007586	S	Function unknown	Poorly characterized
OG0007587	S	Function unknown	Poorly characterized
OG0007588	S	Function unknown	Poorly characterized
OG0007589	S	Function unknown	Poorly characterized
OG0007590	S	Function unknown	Poorly characterized
OG0007591	H	Coenzyme transport and metabolism	Metabolism
OG0007592	G	Carbohydrate transport and metabolism	Metabolism
OG0007593	S	Function unknown	Poorly characterized
OG0007594	Z	Cytoskeleton	Cellular processes and signaling
OG0007595	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007596	S	Function unknown	Poorly characterized
OG0007597	S	Function unknown	Poorly characterized
OG0007598	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007600	S	Function unknown	Poorly characterized
OG0007601	S	Function unknown	Poorly characterized
OG0007602	S	Function unknown	Poorly characterized
OG0007603	S	Function unknown	Poorly characterized
OG0007605	S	Function unknown	Poorly characterized
OG0007606	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0007606	P	Inorganic ion transport and metabolism	Metabolism
OG0007607	G	Carbohydrate transport and metabolism	Metabolism
OG0007608	S	Function unknown	Poorly characterized
OG0007609	S	Function unknown	Poorly characterized
OG0007610	S	Function unknown	Poorly characterized
OG0007611	L	Replication, recombination and repair	Information storage and processing
OG0007612	N	Cell motility	Cellular processes and signaling
OG0007613	S	Function unknown	Poorly characterized
OG0007614	S	Function unknown	Poorly characterized
OG0007615	K	Transcription	Information storage and processing
OG0007616	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007617	S	Function unknown	Poorly characterized
OG0007619	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0007620	S	Function unknown	Poorly characterized
OG0007621	S	Function unknown	Poorly characterized
OG0007622	S	Function unknown	Poorly characterized
OG0007623	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007624	F	Nucleotide transport and metabolism	Metabolism
OG0007624	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0007625	S	Function unknown	Poorly characterized
OG0007626	I	Lipid transport and metabolism	Metabolism
OG0007629	S	Function unknown	Poorly characterized
OG0007630	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007631	W	Extracellular structures	Cellular processes and signaling
OG0007632	K	Transcription	Information storage and processing
OG0007633	S	Function unknown	Poorly characterized
OG0007634	A	RNA processing and modification	Information storage and processing
OG0007635	L	Replication, recombination and repair	Information storage and processing
OG0007636	S	Function unknown	Poorly characterized
OG0007637	S	Function unknown	Poorly characterized
OG0007638	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007639	E	Amino acid transport and metabolism	Metabolism
OG0007641	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007642	S	Function unknown	Poorly characterized
OG0007643	C	Energy production and conversion	Metabolism
OG0007644	A	RNA processing and modification	Information storage and processing
OG0007645	E	Amino acid transport and metabolism	Metabolism
OG0007646	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007647	S	Function unknown	Poorly characterized
OG0007648	S	Function unknown	Poorly characterized
OG0007649	S	Function unknown	Poorly characterized
OG0007652	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007654	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007655	S	Function unknown	Poorly characterized
OG0007656	S	Function unknown	Poorly characterized
OG0007657	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007658	E	Amino acid transport and metabolism	Metabolism
OG0007659	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0007660	S	Function unknown	Poorly characterized
OG0007661	S	Function unknown	Poorly characterized
OG0007662	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007663	S	Function unknown	Poorly characterized
OG0007664	S	Function unknown	Poorly characterized
OG0007666	S	Function unknown	Poorly characterized
OG0007667	S	Function unknown	Poorly characterized
OG0007668	F	Nucleotide transport and metabolism	Metabolism
OG0007669	S	Function unknown	Poorly characterized
OG0007670	S	Function unknown	Poorly characterized
OG0007671	Z	Cytoskeleton	Cellular processes and signaling
OG0007672	S	Function unknown	Poorly characterized
OG0007673	S	Function unknown	Poorly characterized
OG0007674	S	Function unknown	Poorly characterized
OG0007675	L	Replication, recombination and repair	Information storage and processing
OG0007676	S	Function unknown	Poorly characterized
OG0007677	S	Function unknown	Poorly characterized
OG0007678	S	Function unknown	Poorly characterized
OG0007679	S	Function unknown	Poorly characterized
OG0007680	L	Replication, recombination and repair	Information storage and processing
OG0007681	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007682	M	Cell wall/membrane/envelope biogenesis	Cellular processes and signaling
OG0007683	E	Amino acid transport and metabolism	Metabolism
OG0007684	K	Transcription	Information storage and processing
OG0007685	P	Inorganic ion transport and metabolism	Metabolism
OG0007686	J	Translation, ribosomal structure and biogenesis	Information storage and processing
OG0007687	S	Function unknown	Poorly characterized
OG0007688	S	Function unknown	Poorly characterized
OG0007689	S	Function unknown	Poorly characterized
OG0007690	S	Function unknown	Poorly characterized
OG0007691	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007692	S	Function unknown	Poorly characterized
OG0007693	A	RNA processing and modification	Information storage and processing
OG0007694	J	Translation, ribosomal structure and biogenesis	Information storage and processing
OG0007695	S	Function unknown	Poorly characterized
OG0007696	S	Function unknown	Poorly characterized
OG0007697	S	Function unknown	Poorly characterized
OG0007698	W	Extracellular structures	Cellular processes and signaling
OG0007699	S	Function unknown	Poorly characterized
OG0007700	W	Extracellular structures	Cellular processes and signaling
OG0007701	J	Translation, ribosomal structure and biogenesis	Information storage and processing
OG0007702	S	Function unknown	Poorly characterized
OG0007703	W	Extracellular structures	Cellular processes and signaling
OG0007704	L	Replication, recombination and repair	Information storage and processing
OG0007705	M	Cell wall/membrane/envelope biogenesis	Cellular processes and signaling
OG0007706	S	Function unknown	Poorly characterized
OG0007707	M	Cell wall/membrane/envelope biogenesis	Cellular processes and signaling
OG0007708	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007709	K	Transcription	Information storage and processing
OG0007710	S	Function unknown	Poorly characterized
OG0007711	J	Translation, ribosomal structure and biogenesis	Information storage and processing
OG0007712	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007713	S	Function unknown	Poorly characterized
OG0007714	E	Amino acid transport and metabolism	Metabolism
OG0007715	S	Function unknown	Poorly characterized
OG0007716	S	Function unknown	Poorly characterized
OG0007717	S	Function unknown	Poorly characterized
OG0007718	S	Function unknown	Poorly characterized
OG0007719	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007720	S	Function unknown	Poorly characterized
OG0007721	S	Function unknown	Poorly characterized
OG0007722	S	Function unknown	Poorly characterized
OG0007723	I	Lipid transport and metabolism	Metabolism
OG0007724	M	Cell wall/membrane/envelope biogenesis	Cellular processes and signaling
OG0007725	S	Function unknown	Poorly characterized
OG0007726	S	Function unknown	Poorly characterized
OG0007727	S	Function unknown	Poorly characterized
OG0007728	G	Carbohydrate transport and metabolism	Metabolism
OG0007731	S	Function unknown	Poorly characterized
OG0007732	S	Function unknown	Poorly characterized
OG0007733	G	Carbohydrate transport and metabolism	Metabolism
OG0007734	S	Function unknown	Poorly characterized
OG0007735	P	Inorganic ion transport and metabolism	Metabolism
OG0007736	S	Function unknown	Poorly characterized
OG0007737	S	Function unknown	Poorly characterized
OG0007738	S	Function unknown	Poorly characterized
OG0007739	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0007740	S	Function unknown	Poorly characterized
OG0007741	S	Function unknown	Poorly characterized
OG0007742	S	Function unknown	Poorly characterized
OG0007743	S	Function unknown	Poorly characterized
OG0007744	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007745	S	Function unknown	Poorly characterized
OG0007746	E	Amino acid transport and metabolism	Metabolism
OG0007747	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007748	S	Function unknown	Poorly characterized
OG0007749	A	RNA processing and modification	Information storage and processing
OG0007750	A	RNA processing and modification	Information storage and processing
OG0007751	S	Function unknown	Poorly characterized
OG0007752	S	Function unknown	Poorly characterized
OG0007753	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007754	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007757	S	Function unknown	Poorly characterized
OG0007758	I	Lipid transport and metabolism	Metabolism
OG0007759	K	Transcription	Information storage and processing
OG0007761	S	Function unknown	Poorly characterized
OG0007762	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007764	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007765	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007766	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007767	S	Function unknown	Poorly characterized
OG0007769	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007769	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007770	S	Function unknown	Poorly characterized
OG0007771	E	Amino acid transport and metabolism	Metabolism
OG0007773	P	Inorganic ion transport and metabolism	Metabolism
OG0007774	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007775	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007776	S	Function unknown	Poorly characterized
OG0007777	S	Function unknown	Poorly characterized
OG0007778	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007779	S	Function unknown	Poorly characterized
OG0007780	S	Function unknown	Poorly characterized
OG0007781	S	Function unknown	Poorly characterized
OG0007783	S	Function unknown	Poorly characterized
OG0007784	S	Function unknown	Poorly characterized
OG0007785	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007786	S	Function unknown	Poorly characterized
OG0007787	S	Function unknown	Poorly characterized
OG0007788	S	Function unknown	Poorly characterized
OG0007789	S	Function unknown	Poorly characterized
OG0007790	S	Function unknown	Poorly characterized
OG0007791	S	Function unknown	Poorly characterized
OG0007792	S	Function unknown	Poorly characterized
OG0007793	L	Replication, recombination and repair	Information storage and processing
OG0007795	S	Function unknown	Poorly characterized
OG0007796	S	Function unknown	Poorly characterized
OG0007797	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007798	G	Carbohydrate transport and metabolism	Metabolism
OG0007799	S	Function unknown	Poorly characterized
OG0007800	A	RNA processing and modification	Information storage and processing
OG0007801	G	Carbohydrate transport and metabolism	Metabolism
OG0007802	S	Function unknown	Poorly characterized
OG0007803	S	Function unknown	Poorly characterized
OG0007804	S	Function unknown	Poorly characterized
OG0007805	S	Function unknown	Poorly characterized
OG0007806	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0007806	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0007806	Z	Cytoskeleton	Cellular processes and signaling
OG0007807	S	Function unknown	Poorly characterized
OG0007808	S	Function unknown	Poorly characterized
OG0007809	C	Energy production and conversion	Metabolism
OG0007810	I	Lipid transport and metabolism	Metabolism
OG0007811	L	Replication, recombination and repair	Information storage and processing
OG0007812	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007813	L	Replication, recombination and repair	Information storage and processing
OG0007814	S	Function unknown	Poorly characterized
OG0007815	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007817	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007818	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007819	E	Amino acid transport and metabolism	Metabolism
OG0007820	B	Chromatin structure and dynamics	Information storage and processing
OG0007820	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007821	M	Cell wall/membrane/envelope biogenesis	Cellular processes and signaling
OG0007823	K	Transcription	Information storage and processing
OG0007823	L	Replication, recombination and repair	Information storage and processing
OG0007823	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007824	S	Function unknown	Poorly characterized
OG0007825	S	Function unknown	Poorly characterized
OG0007827	S	Function unknown	Poorly characterized
OG0007828	L	Replication, recombination and repair	Information storage and processing
OG0007829	S	Function unknown	Poorly characterized
OG0007830	S	Function unknown	Poorly characterized
OG0007832	S	Function unknown	Poorly characterized
OG0007833	B	Chromatin structure and dynamics	Information storage and processing
OG0007833	K	Transcription	Information storage and processing
OG0007834	W	Extracellular structures	Cellular processes and signaling
OG0007835	S	Function unknown	Poorly characterized
OG0007836	S	Function unknown	Poorly characterized
OG0007837	S	Function unknown	Poorly characterized
OG0007838	S	Function unknown	Poorly characterized
OG0007839	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0007840	S	Function unknown	Poorly characterized
OG0007841	I	Lipid transport and metabolism	Metabolism
OG0007841	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007842	K	Transcription	Information storage and processing
OG0007842	L	Replication, recombination and repair	Information storage and processing
OG0007842	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007843	F	Nucleotide transport and metabolism	Metabolism
OG0007844	S	Function unknown	Poorly characterized
OG0007845	J	Translation, ribosomal structure and biogenesis	Information storage and processing
OG0007846	Z	Cytoskeleton	Cellular processes and signaling
OG0007847	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0007848	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007849	S	Function unknown	Poorly characterized
OG0007850	S	Function unknown	Poorly characterized
OG0007851	S	Function unknown	Poorly characterized
OG0007852	S	Function unknown	Poorly characterized
OG0007853	S	Function unknown	Poorly characterized
OG0007854	J	Translation, ribosomal structure and biogenesis	Information storage and processing
OG0007855	E	Amino acid transport and metabolism	Metabolism
OG0007856	S	Function unknown	Poorly characterized
OG0007857	K	Transcription	Information storage and processing
OG0007858	L	Replication, recombination and repair	Information storage and processing
OG0007859	S	Function unknown	Poorly characterized
OG0007860	S	Function unknown	Poorly characterized
OG0007861	S	Function unknown	Poorly characterized
OG0007862	S	Function unknown	Poorly characterized
OG0007863	S	Function unknown	Poorly characterized
OG0007864	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007865	S	Function unknown	Poorly characterized
OG0007867	S	Function unknown	Poorly characterized
OG0007868	G	Carbohydrate transport and metabolism	Metabolism
OG0007869	S	Function unknown	Poorly characterized
OG0007870	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007871	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007871	V	Defense mechanisms	Cellular processes and signaling
OG0007872	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007873	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007874	S	Function unknown	Poorly characterized
OG0007875	S	Function unknown	Poorly characterized
OG0007876	S	Function unknown	Poorly characterized
OG0007877	S	Function unknown	Poorly characterized
OG0007879	I	Lipid transport and metabolism	Metabolism
OG0007881	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0007881	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007882	K	Transcription	Information storage and processing
OG0007882	L	Replication, recombination and repair	Information storage and processing
OG0007882	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007883	S	Function unknown	Poorly characterized
OG0007884	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007885	E	Amino acid transport and metabolism	Metabolism
OG0007886	J	Translation, ribosomal structure and biogenesis	Information storage and processing
OG0007887	K	Transcription	Information storage and processing
OG0007888	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007889	S	Function unknown	Poorly characterized
OG0007890	S	Function unknown	Poorly characterized
OG0007891	C	Energy production and conversion	Metabolism
OG0007892	S	Function unknown	Poorly characterized
OG0007893	S	Function unknown	Poorly characterized
OG0007894	B	Chromatin structure and dynamics	Information storage and processing
OG0007895	S	Function unknown	Poorly characterized
OG0007896	S	Function unknown	Poorly characterized
OG0007897	S	Function unknown	Poorly characterized
OG0007899	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007900	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007901	K	Transcription	Information storage and processing
OG0007902	H	Coenzyme transport and metabolism	Metabolism
OG0007903	S	Function unknown	Poorly characterized
OG0007904	L	Replication, recombination and repair	Information storage and processing
OG0007905	K	Transcription	Information storage and processing
OG0007906	S	Function unknown	Poorly characterized
OG0007908	S	Function unknown	Poorly characterized
OG0007909	C	Energy production and conversion	Metabolism
OG0007910	S	Function unknown	Poorly characterized
OG0007911	J	Translation, ribosomal structure and biogenesis	Information storage and processing
OG0007912	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0007913	T	Signal transduction mechanisms	Cellular processes and signaling
OG0007914	S	Function unknown	Poorly characterized
OG0007915	S	Function unknown	Poorly characterized
OG0007916	V	Defense mechanisms	Cellular processes and signaling
OG0007917	T	Signal transduction mechanisms	Cellular processes and signaling
